solution_id,model_type,regularization,learning_rate,n_estimators,max_depth,class_weight_ratio,threshold,balanced_accuracy,dp_violation,model_complexity,demographic_parity,obj1_min,obj2_min,obj3_min
230,RandomForest,1.2764135702006623,0.05493113837674267,61,2,1.10140297366183,0.68505936587117,0.5264916871533314,0.027481290639185377,0.3085555555555555,0.9725187093608146,0.4735083128466686,0.027481290639185377,0.3085555555555555
231,LogisticRegression,0.03443972647656041,0.05275336086037284,397,3,1.10140297366183,0.6746919954946937,0.616469838710258,0.1339712918660287,0.10541110455617744,0.8660287081339713,0.38353016128974204,0.1339712918660287,0.10541110455617744
232,RandomForest,1.2764135702006623,0.05493113837674267,50,2,1.073562706189867,0.6657195226241995,0.5316334500743278,0.030793767635872896,0.3,0.9692062323641271,0.46836654992567217,0.030793767635872896,0.3
233,XGBoost,4.798010910675292,0.005243642585941341,118,10,1.4682680657104235,0.6897579230664665,0.5153137069285121,0.030303030303030304,0.6722279809789649,0.9696969696969697,0.4846862930714879,0.030303030303030304,0.6722279809789649
234,LogisticRegression,1.0784642153666706,0.1532742151313575,247,15,1.4682680657104235,0.6985335664226967,0.6312220370523679,0.15936694884063307,0.06068501446013549,0.8406330511593669,0.3687779629476321,0.15936694884063307,0.06068501446013549
235,LogisticRegression,0.0702889095681417,0.025210686772542002,329,4,1.10140297366183,0.6985335664226967,0.5941138782606191,0.10428168322905164,0.09434755175186871,0.8957183167709484,0.4058861217393809,0.10428168322905164,0.09434755175186871
236,LogisticRegression,4.798010910675292,0.18164696015633627,247,3,1.10140297366183,0.6897579230664665,0.5991440593471382,0.11225616488774383,0.05308313391653621,0.8877438351122562,0.4008559406528618,0.11225616488774383,0.05308313391653621
237,XGBoost,2.4370551632385427,0.17158847374194147,247,3,2.9336297438925865,0.6897579230664665,0.6621590005147162,0.25972273340694396,0.4695800293912378,0.740277266593056,0.3378409994852838,0.25972273340694396,0.4695800293912378
238,LogisticRegression,1.0784642153666706,0.18164696015633627,374,3,1.10140297366183,0.4969301920004727,0.647851329803508,0.25456999141209663,0.06068501446013549,0.7454300085879033,0.352148670196492,0.25456999141209663,0.06068501446013549
239,RandomForest,8.011184207297664,0.005243642585941341,247,2,1.10140297366183,0.6897579230664665,0.5163197431458159,0.03189792663476874,0.4532222222222222,0.9681020733652312,0.48368025685418414,0.03189792663476874,0.4532222222222222
240,XGBoost,1.2764135702006623,0.21170799723773884,61,4,1.4682680657104235,0.68505936587117,0.6415001637733377,0.17273954116059376,0.3621239421885242,0.8272604588394062,0.35849983622666226,0.17273954116059376,0.3621239421885242
241,RandomForest,1.7624510039685515,0.14863248027501222,61,4,1.10140297366183,0.6985335664226967,0.5466106117924002,0.0668629615998037,0.36240170940170935,0.9331370384001962,0.4533893882075998,0.0668629615998037,0.36240170940170935
242,RandomForest,0.0006473915535554222,0.0167050527875589,60,4,1.10140297366183,0.6985335664226967,0.5466106117924002,0.0668629615998037,0.3616239316239316,0.9331370384001962,0.4533893882075998,0.0668629615998037,0.3616239316239316
243,LogisticRegression,1.0784642153666706,0.1532742151313575,247,4,1.4682680657104235,0.6985335664226967,0.6312220370523679,0.15936694884063307,0.06068501446013549,0.8406330511593669,0.3687779629476321,0.15936694884063307,0.06068501446013549
244,XGBoost,1.7624510039685515,0.21170799723773884,61,2,1.4682680657104235,0.68505936587117,0.658379615798548,0.16991780149674887,0.315970096034678,0.8300821985032512,0.341620384201452,0.16991780149674887,0.315970096034678
245,LogisticRegression,0.9388100334892369,0.09042254117997757,247,2,1.4682680657104235,0.6543910992944748,0.6496600353462456,0.1847626058152374,0.061810779376618614,0.8152373941847626,0.3503399646537544,0.1847626058152374,0.061810779376618614
246,RandomForest,0.00017829126128655803,0.0067390781707279464,329,2,1.1631005662190557,0.6621402567824255,0.535880758612498,0.043552938289780393,0.517,0.9564470617102196,0.46411924138750205,0.043552938289780393,0.517
