solution_id,model_type,model_type_int,regularization,learning_rate,n_estimators,max_depth,class_weight_ratio,threshold,balanced_accuracy,dp_violation,model_complexity,demographic_parity,obj1_min,obj2_min,obj3_min
65,XGBoost,2,7.879992941543004,0.2996782885305072,51,2,1.0026985254523582,0.6934028984886549,0.6070789675440837,0.1332351858667648,0.2507736650263981,0.8667648141332351,0.39292103245591625,0.1332351858667648,0.2507736650263981
66,XGBoost,2,7.879992941543004,0.2996844309512323,193,2,1.0400330458847957,0.6960567591859018,0.6112128945407688,0.1267329162066004,0.329658389562253,0.8732670837933996,0.38878710545923123,0.1267329162066004,0.329658389562253
67,XGBoost,2,1.04983917009098,0.2917633586415946,76,2,1.338757122803686,0.6637817281264151,0.6594972338503291,0.17470249049196415,0.27002860807726164,0.8252975095080358,0.3405027661496709,0.17470249049196415,0.27002860807726164
68,LogisticRegression,0,1.2070219993735596,0.29405198412014716,58,2,1.0154384167752235,0.6733629264776241,0.6001500955644421,0.11385106121948226,0.059828323664330677,0.8861489387805177,0.3998499044355579,0.11385106121948226,0.059828323664330677
69,RandomForest,1,9.188811041626106,0.28609409990638,186,2,1.0405109718804613,0.6958557099691047,0.5110663983903421,0.017543859649122806,0.4057777777777778,0.9824561403508771,0.48893360160965793,0.017543859649122806,0.4057777777777778
70,XGBoost,2,1.525801737219136,0.03082804719498461,64,2,1.1629505488820615,0.6985536511793872,0.5663965906350447,0.07348791559317874,0.4402672373066018,0.9265120844068213,0.43360340936495534,0.07348791559317874,0.4402672373066018
71,XGBoost,2,9.96141187132752,0.2994722146197182,290,5,1.7111459753010623,0.6154069779605155,0.6390219672237359,0.20770457612562881,0.45292192316090374,0.7922954238743711,0.36097803277626406,0.20770457612562881,0.45292192316090374
72,LogisticRegression,0,0.22679692897562143,0.2845126883958361,359,7,2.3353477601306625,0.401025612424326,0.5465170270279999,0.1301680775364985,0.07749228316898601,0.8698319224635015,0.45348297297200013,0.1301680775364985,0.07749228316898601
73,RandomForest,1,7.155032169402906,0.271962422290217,75,2,1.5777099038348448,0.6854453487106231,0.549740302278789,0.06698564593301436,0.3194444444444444,0.9330143540669856,0.450259697721211,0.06698564593301436,0.3194444444444444
74,LogisticRegression,0,9.807128086279132,0.2388538426804647,74,3,1.2588091892311608,0.6713564909511638,0.6288752191143282,0.16623727150042938,0.051581299756306875,0.8337627284995706,0.3711247808856718,0.16623727150042938,0.051581299756306875
75,XGBoost,2,4.9729213264458,0.07925878622107363,55,7,1.9502947307159095,0.685756242727538,0.6604924718255868,0.24475524475524477,0.5178174533514959,0.7552447552447552,0.3395075281744132,0.24475524475524477,0.5178174533514959
76,XGBoost,2,5.895457741919817,0.2640020896106043,98,5,1.4077640506628384,0.6555632621411364,0.6463017820698791,0.19285977180714023,0.3703027988732974,0.8071402281928598,0.3536982179301209,0.19285977180714023,0.3703027988732974
77,XGBoost,2,9.982997432160403,0.2754860414193125,288,5,1.5233031500390706,0.6995709549868224,0.6210392948028061,0.16942706416390627,0.4680726243890508,0.8305729358360937,0.37896070519719394,0.16942706416390627,0.4680726243890508
78,RandomForest,1,6.100685619303143,0.27812035583213834,63,3,1.2302953476459797,0.6614227740020874,0.5659484635901275,0.09176788124156546,0.33703418803418805,0.9082321187584346,0.4340515364098725,0.09176788124156546,0.33703418803418805
79,XGBoost,2,1.6422656827670654,0.2973910717272774,176,3,1.0170332107124105,0.665160200483452,0.6275308379795769,0.13863329652803338,0.3448456880075824,0.8613667034719666,0.37246916202042313,0.13863329652803338,0.3448456880075824
80,XGBoost,2,8.648561001688261,0.2999902314200351,71,4,1.0052801609421094,0.5312487053350352,0.6589267267288885,0.24254692675745307,0.3078271355865907,0.757453073242547,0.3410732732711115,0.24254692675745307,0.3078271355865907
81,LogisticRegression,0,5.478652112928909,0.2942301881599023,107,2,1.521519986160279,0.6824497268448292,0.6485460167084798,0.1650104281683229,0.05273038045205359,0.8349895718316771,0.3514539832915202,0.1650104281683229,0.05273038045205359
82,XGBoost,2,8.858233955685257,0.0220487975412442,55,2,1.0148333433989645,0.6634619851998697,0.5091659077902118,0.013617960986382037,0.44121927097015456,0.986382039013618,0.49083409220978824,0.013617960986382037,0.44121927097015456
83,RandomForest,1,9.984166022755081,0.297682293904108,51,4,1.0143855426939599,0.6576571583025412,0.5796964254219413,0.1159366948840633,0.3546239316239316,0.8840633051159367,0.42030357457805867,0.1159366948840633,0.3546239316239316
84,RandomForest,1,0.6115952524294628,0.26799688558011725,51,2,1.0283151168389297,0.6462147772438597,0.5338686861778903,0.03643724696356275,0.30077777777777776,0.9635627530364372,0.4661313138221097,0.03643724696356275,0.30077777777777776
85,LogisticRegression,0,0.24995124025094173,0.2851727513386874,106,2,1.1507045277125532,0.6840946244314058,0.616469838710258,0.1339712918660287,0.07621363199414348,0.8660287081339713,0.38353016128974204,0.1339712918660287,0.07621363199414348
86,XGBoost,2,5.9305000347745125,0.2991136470248856,65,2,2.6183692603472193,0.6268001577110583,0.6462747864647636,0.254079254079254,0.25893425060459735,0.745920745920746,0.35372521353523645,0.254079254079254,0.25893425060459735
87,XGBoost,2,8.711871481759687,0.2716664948175062,129,8,1.145418595643529,0.6931797595846113,0.6231665484859065,0.14906146485093855,0.4515595834063553,0.8509385351490615,0.37683345151409353,0.14906146485093855,0.4515595834063553
88,XGBoost,2,8.705354064849944,0.2718658075858373,120,5,1.7052024732733781,0.6777514190876501,0.6455171098145223,0.1933505091399828,0.37719368687502264,0.8066494908600172,0.35448289018547774,0.1933505091399828,0.37719368687502264
89,LogisticRegression,0,1.5320959047044689,0.29067362906393013,352,2,1.1405641821825656,0.6786607205668934,0.6166930023792127,0.1364249785302417,0.05818219363452563,0.8635750214697583,0.38330699762078735,0.1364249785302417,0.05818219363452563
90,RandomForest,1,1.5888394617563821,0.07390503729159181,52,4,1.136671871376598,0.6902944512829359,0.5669544998074313,0.09336277757330388,0.35540170940170934,0.9066372224266961,0.4330455001925687,0.09336277757330388,0.35540170940170934
91,LogisticRegression,0,0.35848147250879414,0.2246735138883036,106,2,1.1190731413570258,0.6997115857824339,0.595119914477923,0.1058765795607901,0.0716967771254067,0.8941234204392099,0.404880085522077,0.1058765795607901,0.0716967771254067
92,XGBoost,2,9.272760539687859,0.2994142691190612,79,2,1.0154384167752235,0.6689511459847876,0.6160181122513255,0.15936694884063307,0.2665082167931035,0.8406330511593669,0.3839818877486745,0.15936694884063307,0.2665082167931035
93,RandomForest,1,1.0156297699631747,0.01960275969851097,54,2,1.1083609500785208,0.5992980160095791,0.5591293737379555,0.07913139492086861,0.3031111111111111,0.9208686050791314,0.44087062626204454,0.07913139492086861,0.3031111111111111
94,LogisticRegression,0,0.05905941207192156,0.2746837303480666,96,3,1.5649158149289055,0.6939545742992972,0.6491057255878743,0.1734756471598577,0.09701065979843931,0.8265243528401423,0.35089427441212573,0.1734756471598577,0.09701065979843931
95,XGBoost,2,9.152602998207069,0.04105978906310408,55,2,1.148926368466763,0.6646208077194552,0.590651241977806,0.09103177524230156,0.42833046315872414,0.9089682247576985,0.40934875802219395,0.09103177524230156,0.42833046315872414
96,RandomForest,1,0.6115952524294628,0.26799688558011725,51,2,1.0283151168389297,0.6646213317379417,0.528503759587939,0.026745184639921486,0.30077777777777776,0.9732548153600785,0.47149624041206095,0.026745184639921486,0.30077777777777776
97,XGBoost,2,9.69417457235225,0.24101212666480845,75,4,1.13152732111372,0.666225695432554,0.6214928209687463,0.1483253588516746,0.3500345135750683,0.8516746411483254,0.37850717903125375,0.1483253588516746,0.3500345135750683
98,XGBoost,2,7.013239445842774,0.29805487918795603,100,5,1.0188182057970574,0.6489151667813522,0.6203734032099574,0.15887621150779044,0.3483272729828141,0.8411237884922096,0.3796265967900426,0.15887621150779044,0.3483272729828141
99,LogisticRegression,0,2.397313690694423,0.2574411195910849,84,3,1.1324956313505241,0.6635520604244949,0.6271996918901603,0.15728131517605198,0.05567784274489246,0.8427186848239481,0.37280030810983966,0.15728131517605198,0.05567784274489246
100,RandomForest,1,0.05905941207192156,0.2746837303480666,96,2,1.5686642454476138,0.6989819906976688,0.5405743944885772,0.05729358360937308,0.3357777777777778,0.9427064163906269,0.45942560551142275,0.05729358360937308,0.3357777777777778
101,XGBoost,2,5.263962812781974,0.29856734622321107,109,7,1.71104591694512,0.6237915291561485,0.6228138059123974,0.18292234081707764,0.39913368385852127,0.8170776591829223,0.37718619408760257,0.18292234081707764,0.39913368385852127
102,LogisticRegression,0,6.075517868144864,0.29944818098882686,64,2,2.441629406743911,0.6801306534314571,0.6417017309582,0.2532204637467795,0.05248153291772953,0.7467795362532206,0.35829826904179995,0.2532204637467795,0.05248153291772953
103,RandomForest,1,6.6061198756709985,0.1815492689956718,104,2,1.1522168608821861,0.699409164573743,0.5184433974149009,0.034351613298981724,0.34199999999999997,0.9656483867010183,0.48155660258509914,0.034351613298981724,0.34199999999999997
104,XGBoost,2,8.012997756777201,0.2976771758976532,104,4,1.2457888871560403,0.6982931071416424,0.6159047307098404,0.15188320451478346,0.32772864215543723,0.8481167954852166,0.3840952692901596,0.15188320451478346,0.32772864215543723
105,XGBoost,2,9.11374007300942,0.0430227417558048,54,2,1.0414185492842485,0.6646208077194552,0.5788037707461225,0.08256655625076678,0.42644409221828683,0.9174334437492332,0.42119622925387745,0.08256655625076678,0.42644409221828683
106,LogisticRegression,0,9.907990810021719,0.06815220868458421,119,2,1.5807957891655298,0.31121043109953395,0.5459573181486054,0.11385106121948219,0.05156595180942565,0.8861489387805178,0.4540426818513946,0.11385106121948219,0.05156595180942565
107,XGBoost,2,8.912412272789448,0.2976771758976532,55,7,1.277068241099005,0.6008268739240986,0.6412662018623368,0.21518832045147834,0.36973718916398424,0.7848116795485216,0.35873379813766315,0.21518832045147834,0.36973718916398424
108,XGBoost,2,5.263962812781974,0.07761500993719805,109,7,1.5157357714299629,0.6237915291561485,0.6588151448944112,0.22757943810575387,0.5489318779507335,0.7724205618942461,0.3411848551055888,0.22757943810575387,0.5489318779507335
